"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,9.53072,0.920987,0,0,4,-1.40334e-14,0,180
0.02,9.53523,0.920987,0.00450777,0.08,4,-0.000287649,0,179.933
0.04,9.53974,0.920987,0.00901554,0.16,4,-0.000575299,0,179.731
0.06,9.54424,0.920987,0.0135233,0.24,4,-0.000862948,0,179.395
0.08,9.54875,0.920987,0.0180311,0.32,4,-0.0011506,0,178.925
0.1,9.55326,0.920987,0.0225389,0.4,4,-0.00143825,0,178.32
0.12,9.5601,0.920986,0.0293753,0.48,4,-0.00226288,0,177.581
0.14,9.57098,0.920986,0.040258,0.56,4,-0.00402056,0,176.708
0.16,9.58196,0.920985,0.0512441,0.64,4,-0.00583616,0,175.7
0.18,9.59615,0.920983,0.0654267,0.72,4,-0.00944362,0,174.558
0.2,9.61096,0.92098,0.0802441,0.8,4,-0.0135725,0,173.282
0.22,9.62779,0.920975,0.0970674,0.88,4,-0.0193492,0,171.871
0.24,9.64627,0.920968,0.11555,0.96,4,-0.0268964,0,170.325
0.26,9.66618,0.920957,0.135457,1.04,4,-0.0361537,0,168.646
0.28,9.68766,0.920942,0.156944,1.12,3.34643,-0.0475814,0,166.832
0.3,9.71072,0.92092,0.18,1.19328,0.316449,-0.0616369,0,164.884
0.32,9.73465,0.920891,0.203929,1.2,0,-0.0781857,0,162.801
0.34,9.75865,0.920854,0.227929,1.2,0,-0.0966034,0,160.584
0.36,9.78265,0.920809,0.251929,1.2,0,-0.116831,0,158.232
0.38,9.80665,0.920755,0.275929,1.2,0,-0.138796,0,155.747
0.4,9.83065,0.920692,0.299929,1.2,0,-0.16248,0,153.126
0.42,9.85465,0.920619,0.323929,1.2,0,-0.187859,0,150.372
0.44,9.87865,0.920534,0.347929,1.2,0,-0.214892,0,147.483
0.46,9.90265,0.920439,0.371929,1.2,0,-0.243527,0,144.46
0.48,9.92665,0.92033,0.395929,1.2,0,-0.273686,0,141.302
0.5,9.95065,0.920209,0.419929,1.2,0,-0.305265,0,138.01
0.52,9.97465,0.920074,0.443929,1.2,0,-0.338177,0,134.584
0.54,9.99865,0.919922,0.467929,1.2,0,-0.372279,0,131.023
0.56,10.0226,0.919758,0.491929,1.2,0,-0.407133,0,127.328
0.58,10.0466,0.919582,0.515929,1.2,0,-0.442405,0,123.498
0.6,10.0706,0.919388,0.539929,1.2,0,-0.478075,0,119.534
0.62,10.0946,0.919182,0.563929,1.2,0,-0.513513,0,115.436
0.64,10.1186,0.91896,0.587929,1.2,0,-0.548491,0,111.204
0.66,10.1426,0.918722,0.611929,1.2,0,-0.582111,0,106.837
0.68,10.1666,0.918475,0.635929,1.2,0,-0.614822,0,102.335
0.7,10.1906,0.918208,0.659929,1.2,0,-0.643798,0,97.6995
0.72,10.2146,0.917935,0.683929,1.2,0,-0.671176,0,92.9295
0.74,10.2386,0.917647,0.707929,1.2,0,-0.693714,0,88.0588
0.76,10.2626,0.917353,0.731929,1.2,0,-0.712325,0,83.289
0.78,10.2866,0.917052,0.755929,1.2,0,-0.727161,0,78.6537
0.8,10.3106,0.916745,0.779929,1.2,0,-0.735341,0,74.1527
0.82,10.3346,0.916436,0.803929,1.2,0,-0.739189,0,69.786
0.84,10.3586,0.916126,0.827929,1.2,0,-0.737179,0,65.5538
0.86,10.3826,0.915819,0.851929,1.2,0,-0.729347,0,61.4559
0.88,10.4066,0.915515,0.875929,1.2,0,-0.717221,0,57.4923
0.9,10.4306,0.915219,0.899929,1.2,0,-0.699792,0,53.6632
0.92,10.4546,0.914931,0.923929,1.2,0,-0.677455,0,49.9684
0.94,10.4786,0.914652,0.947929,1.2,0,-0.652153,0,46.4079
0.96,10.5026,0.914385,0.971929,1.2,0,-0.623008,0,42.9819
0.98,10.5266,0.914131,0.995929,1.2,0,-0.591736,0,39.6902
1,10.5506,0.913888,1.01993,1.2,0,-0.558575,0,36.5329
1.02,10.5746,0.913663,1.04393,1.2,0,-0.523827,0,33.5099
1.04,10.5986,0.913446,1.06793,1.2,0,-0.488591,0,30.6213
1.06,10.6226,0.913255,1.09193,1.2,0,-0.452871,0,27.8671
1.08,10.6466,0.913068,1.11593,1.2,0,-0.417246,0,25.2472
1.1,10.6706,0.912905,1.13993,1.2,0,-0.382452,0,22.7618
1.12,10.6946,0.912748,1.16393,1.2,0,-0.347955,0,20.4106
1.14,10.7186,0.912609,1.18793,1.2,0,-0.314698,0,18.1939
1.16,10.7426,0.912484,1.21193,1.2,0,-0.282735,0,16.1115
1.18,10.7666,0.912372,1.23593,1.2,0,-0.252144,0,14.1635
1.2,10.7906,0.912273,1.25993,1.2,0,-0.223033,0,12.3499
1.22,10.8146,0.912185,1.28393,1.2,0,-0.195484,0,10.6706
1.24,10.8386,0.912108,1.30793,1.2,0,-0.169592,0,9.12568
1.26,10.8626,0.912042,1.33193,1.2,0,-0.145454,0,7.71514
1.28,10.8866,0.911987,1.35593,1.2,0,-0.123094,0,6.43897
1.3,10.9106,0.91194,1.37993,1.2,0,-0.102487,0,5.29717
1.32,10.9346,0.911901,1.40393,1.2,0,-0.0836469,0,4.28973
1.34,10.9586,0.91187,1.42793,1.2,0,-0.066589,0,3.41667
1.36,10.9826,0.911845,1.45193,1.2,0,-0.051329,0,2.67797
1.38,11.0066,0.911826,1.47593,1.2,0,-0.037887,0,2.07364
1.4,11.0306,0.911812,1.49993,1.2,0,-0.0262914,0,1.60368
1.42,11.0546,0.911803,1.52393,1.2,0,-0.0166151,0,1.26808
1.44,11.0786,0.911798,1.54793,1.2,0,-0.00943985,0,1.06686
1.46,11.1026,0.911795,1.57193,1.2,0,-0.00433894,0,1
1.48,11.1266,0.911794,1.59593,1.2,3.32736,-0.00140933,0,1
1.5,11.1513,0.911791,1.6206,1.26576,4,-0.0119339,0,1
1.52,11.1774,0.911782,1.64669,1.34576,4,-0.0434235,0,0.993084
1.54,11.205,0.911741,1.67435,1.42576,4,-0.1186,0,0.972336
1.56,11.2343,0.911665,1.70365,1.50576,4,-0.233235,0,0.937756
1.58,11.2653,0.911475,1.73463,1.58576,4,-0.417758,0,0.889344
1.6,11.2978,0.911178,1.76716,1.66576,4,-0.651135,0,0.8271
1.62,11.3319,0.910708,1.8012,1.74576,4,-0.948943,0,0.751024
1.64,11.3676,0.910005,1.83696,1.82576,4,-1.31944,0,0.661116
