"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,1.87834,5.17533,0,0,3.75,-1.40334e-14,0,180
0.02,1.8827,5.17532,0.00436463,0.075,3.75,-0.0294951,0,180
0.04,1.88707,5.17531,0.00872926,0.15,3.75,-0.0589903,0,180
0.06,1.89143,5.17531,0.0130939,0.225,3.75,-0.0884854,0,180
0.08,1.8958,5.1753,0.0174585,0.3,3.75,-0.117981,0,180
0.1,1.90016,5.17529,0.0218231,0.375,3.75,-0.147476,0,180
0.12,1.90564,5.17528,0.0273019,0.45,3.75,-0.189905,0,180
0.14,1.91618,5.17523,0.037839,0.525,3.75,-0.291057,0,180
0.16,1.92672,5.17519,0.0483761,0.6,3.75,-0.39221,0,180
0.18,1.93971,5.17505,0.0613735,0.675,3.75,-0.61709,0,180
0.2,1.95344,5.17489,0.0751057,0.75,3.75,-0.878928,0,180
0.22,1.96952,5.17456,0.091191,0.825,3.75,-1.26526,0,180
0.24,1.9866,5.17413,0.108274,0.9,3.75,-1.72032,0,180
0.26,2.00508,5.17356,0.126763,0.975,3.75,-2.27795,0,180
0.28,2.02548,5.17252,0.147189,1.05,3.75,-3.05171,0,180
0.3,2.04723,5.17126,0.168972,1.125,3.75,-3.93241,0,180
0.32,2.07039,5.16942,0.192208,1.2,3.75,-5.01805,0,180
0.34,2.09499,5.16694,0.216936,1.275,3.75,-6.3098,0,180
0.36,2.12103,5.1638,0.243164,1.35,3.75,-7.79589,0,180
0.38,2.14842,5.15959,0.270885,1.425,3.75,-9.53326,0,180
0.4,2.17714,5.15432,0.300083,1.5,3.75,-11.4931,0,180
0.42,2.2071,5.14776,0.330761,1.575,3.75,-13.6747,0,180
0.44,2.2383,5.13929,0.363091,1.65,3.75,-16.0678,0,180
0.46,2.27055,5.12935,0.396846,1.725,3.75,-18.5704,0,180
0.48,2.30361,5.11742,0.432003,1.8,3.75,-21.0718,0,180
0.5,2.33767,5.1034,0.468835,1.875,3.75,-23.422,0,180
0.52,2.37245,5.08768,0.507012,1.95,3.75,-25.4998,0,180
0.54,2.40811,5.06997,0.546824,2.025,3.75,-26.9333,0,180
0.56,2.44471,5.05103,0.588035,2.1,3.75,-27.7422,0,180
0.58,2.48254,5.03113,0.630786,2.175,3.75,-27.5843,0,180
0.6,2.52197,5.011,0.675058,2.25,3.75,-26.4098,0,180
0.62,2.56326,4.99132,0.720803,2.325,3.75,-24.2677,0,180
0.64,2.60684,4.97311,0.768038,2.4,3.75,-21.1627,0,180
0.66,2.65277,4.95685,0.816776,2.475,3.75,-17.43,0,180
0.68,2.70123,4.94364,0.867022,2.55,3.75,-13.3534,0,180
0.7,2.75196,4.93351,0.918775,2.625,3.75,-9.32022,0,180
0.72,2.80475,4.92657,0.972033,2.7,3.75,-5.61502,0,180
0.74,2.85937,4.92283,1.02679,2.775,3.75,-2.47895,0,180
0.76,2.9156,4.92169,1.08303,2.85,3.75,-0.002918,0,180
0.78,2.97332,4.92262,1.14076,2.925,3.75,1.71435,0,180
0.8,3.03254,4.92492,1.20003,3,3.75,2.55518,0,180
0.82,3.09323,4.92771,1.26078,3.075,3.75,2.61603,0,180
0.84,3.1554,4.93042,1.32301,3.15,3.75,2.32777,0,180
0.86,3.21912,4.93274,1.38678,3.225,3.75,1.8097,0,180
0.88,3.28434,4.9344,1.45202,3.3,3.75,1.07373,0,180
0.9,3.35109,4.93512,1.51877,3.375,3.75,0.136429,0,180
0.92,3.41934,4.93464,1.58703,3.45,3.75,-0.943407,0,180
0.94,3.48906,4.93285,1.65677,3.525,3.75,-2.02183,0,180
0.96,3.56023,4.9298,1.728,3.6,3.75,-2.81588,0,180
0.98,3.63289,4.92605,1.80076,3.675,3.75,-2.94852,0,180
1,3.70705,4.92262,1.875,3.7463,0.544812,-2.21358,0,180
1.02,3.78201,4.92062,1.94999,3.75,0,-0.794052,0,180
1.04,3.857,4.92064,2.02499,3.75,0,0.858179,0,180
1.06,3.93197,4.9228,2.09999,3.75,0,2.39574,0,180
1.08,4.00686,4.9268,2.17499,3.75,0,3.64683,0,180
1.1,4.08166,4.93221,2.24999,3.75,0,4.56525,0,180
1.12,4.15639,4.9386,2.32499,3.75,0,5.14334,0,180
