"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,1.83412,0.493119,0,0,4,-1.40334e-14,0,180
0.02,1.83862,0.49312,0.00450777,0.08,4,0.00610169,0,180
0.04,1.84313,0.493121,0.00901554,0.16,4,0.0122034,0,180
0.06,1.84764,0.493122,0.0135233,0.24,4,0.0183051,0,180
0.08,1.85215,0.493123,0.0180311,0.32,4,0.0244068,0,180
0.1,1.85666,0.493124,0.0225389,0.4,4,0.0305085,0,180
0.12,1.86349,0.49313,0.0293753,0.48,4,0.04873,0,180
0.14,1.87437,0.493145,0.040258,0.56,4,0.0880108,0,180
0.16,1.88536,0.493162,0.0512441,0.64,4,0.12861,0,180
0.18,1.89954,0.493211,0.0654267,0.72,4,0.209999,0,180
0.2,1.91436,0.493274,0.0802441,0.8,4,0.303253,0,180
0.22,1.93118,0.493383,0.0970674,0.88,4,0.434,0,180
0.24,1.94967,0.493556,0.11555,0.96,4,0.605015,0,180
0.26,1.96957,0.4938,0.135457,1.04,4,0.814921,0,180
0.28,1.99105,0.494147,0.156944,1.12,4,1.07358,0,180
0.3,2.01417,0.494636,0.180069,1.2,4,1.39026,0,180
0.32,2.03894,0.495314,0.204845,1.28,4,1.77369,0,180
0.34,2.06534,0.496235,0.231263,1.36,4,2.23215,0,180
0.36,2.09335,0.497461,0.2593,1.44,4,2.77334,0,180
0.38,2.12294,0.49906,0.28893,1.52,4,3.40418,0,180
0.4,2.15406,0.501119,0.320122,1.6,4,4.13207,0,180
0.42,2.18668,0.503781,0.352845,1.68,4,4.96984,0,180
0.44,2.22096,0.506995,0.387276,1.76,4,5.90156,0,180
0.46,2.25674,0.511048,0.423286,1.84,4,6.9481,0,180
0.48,2.29397,0.515953,0.460842,1.92,4,8.08727,0,180
0.5,2.33275,0.521866,0.50007,2,4,9.3058,0,180
0.52,2.37292,0.528914,0.540861,2.08,4,10.5614,0,180
0.54,2.41447,0.53712,0.58321,2.16,4,11.7976,0,180
0.56,2.45749,0.546555,0.627255,2.24,4,12.9342,0,180
0.58,2.50185,0.557146,0.67286,2.32,4,13.8541,0,180
0.6,2.5476,0.568714,0.720051,2.4,4,14.4487,0,180
0.62,2.59482,0.580991,0.768841,2.48,4,14.6468,0,180
0.64,2.6436,0.593619,0.819237,2.56,4,14.3111,0,180
0.66,2.69408,0.606133,0.871239,2.64,4,13.4868,0,180
0.68,2.74633,0.618085,0.924842,2.72,0.826208,12.235,0,180
0.7,2.79953,0.628909,0.97914,2.68661,-4,10.6935,0,180
0.72,2.85168,0.637977,1.03207,2.60661,-4,9.06217,0,180
0.74,2.90248,0.645356,1.0834,2.52661,-4,7.47764,0,180
0.76,2.95186,0.651191,1.13313,2.44661,-4,6.01501,0,180
0.78,2.99977,0.65567,1.18126,2.36661,-4,4.71417,0,180
0.8,3.04618,0.659092,1.22779,2.28661,-4,3.57582,0,180
0.82,3.09107,0.661523,1.27275,2.20661,-4,2.61829,0,180
0.84,3.13436,0.663185,1.31607,2.12661,-4,1.83262,0,180
0.86,3.17604,0.66427,1.35777,2.04661,-4,1.20394,0,180
0.88,3.21623,0.664948,1.39796,1.96661,-4,0.710801,0,180
0.9,3.25468,0.665292,1.43642,1.88661,-4,0.362801,0,180
0.92,3.2917,0.665455,1.47343,1.80661,-4,0.126568,0,180
0.94,3.32693,0.665493,1.50867,1.72661,-4,0.0212227,0,180
0.96,3.36068,0.665496,1.54241,1.64661,-4,0.000139212,0,180
0.98,3.3929,0.665496,1.57463,1.56661,-4,-1.37753e-14,0,180
1,3.42346,0.665496,1.60519,1.5,0,-1.30301e-14,0,180
1.02,3.45346,0.665496,1.63519,1.5,0,-1.22636e-14,0,180
1.04,3.48346,0.665496,1.66519,1.5,0,-1.12684e-14,0,180
1.06,3.51346,0.665496,1.69519,1.5,0,-1.01005e-14,0,180
1.08,3.54346,0.665496,1.72519,1.5,0,-8.69759e-15,0,180
1.1,3.57346,0.665496,1.75519,1.5,0,-7.1453e-15,0,180
1.12,3.60346,0.665496,1.78519,1.5,0,-5.3675e-15,0,180
1.14,3.63346,0.665496,1.81519,1.5,0,-3.46116e-15,0,180
1.16,3.66346,0.665496,1.84519,1.5,0,-1.40826e-15,0,180
1.18,3.69346,0.665496,1.87519,1.5,0,7.46583e-16,0,180
1.2,3.72346,0.665496,1.90519,1.5,0,2.95677e-15,0,180
1.22,3.75346,0.665496,1.93519,1.5,0,5.14446e-15,0,180
1.24,3.78346,0.665496,1.96519,1.5,0,7.22738e-15,0,180
1.26,3.81346,0.665496,1.99519,1.5,0,9.10832e-15,0,180
1.28,3.84346,0.665496,2.02519,1.5,0,1.06096e-14,0,180
1.3,3.87346,0.665496,2.05519,1.5,0,1.16414e-14,0,180
1.32,3.90346,0.665496,2.08519,1.5,0,1.20721e-14,0,180
1.34,3.93346,0.665496,2.11519,1.5,0,1.17189e-14,0,180
